City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Puerto Madryn,-42.77,-65.04,79.7,17,0,18.12,AR,2020-11-23 23:20:05
114,Saskylakh,71.92,114.08,3.2,93,80,6.64,RU,2020-11-23 23:23:27
115,Nemuro,43.32,145.57,35.74,80,46,26.64,JP,2020-11-23 23:18:33
116,Rongcheng,30.63,117.85,42.67,87,100,3.13,CN,2020-11-23 23:23:28
117,San Cristobal,7.77,-72.22,84.2,70,40,4.7,VE,2020-11-23 23:23:28
118,Sinnamary,5.38,-52.95,78.44,86,90,10.74,GF,2020-11-23 23:23:28
119,Nikolskoye,59.7,30.79,39.2,86,90,6.71,RU,2020-11-23 23:23:28
120,Barrow,71.29,-156.79,5.0,77,75,9.17,US,2020-11-23 23:23:29
121,Gat,31.61,34.76,63.0,82,61,5.99,IL,2020-11-23 23:23:04
122,Manokwari,-0.87,134.08,82.54,71,100,2.26,ID,2020-11-23 23:23:29
123,Seoul,37.57,126.98,35.6,55,90,0.45,KR,2020-11-23 23:21:53
124,Prainha,-1.8,-53.48,76.82,90,57,4.36,BR,2020-11-23 23:23:30
125,Korla,41.76,86.15,19.02,80,86,3.96,CN,2020-11-23 23:20:08
126,Aksu,41.12,80.26,17.8,83,0,1.21,CN,2020-11-23 23:23:30
127,Hyeres,43.12,6.12,41.0,93,0,3.36,FR,2020-11-23 23:23:30
128,Novikovo,51.15,37.89,32.94,95,100,10.36,RU,2020-11-23 23:23:30
129,Shahr-E Kord,32.33,50.86,28.4,100,0,4.7,IR,2020-11-23 23:23:30
130,Saint-Philippe,-21.36,55.77,71.6,60,75,5.82,RE,2020-11-23 23:23:31
131,Rocha,-34.48,-54.33,65.12,78,0,13.69,UY,2020-11-23 23:23:31
132,Pangnirtung,66.15,-65.71,17.6,78,90,9.17,CA,2020-11-23 23:23:31
133,Mount Isa,-20.73,139.5,95.0,19,1,8.05,AU,2020-11-23 23:23:31
134,La Ciotat,43.17,5.6,41.0,93,27,3.36,FR,2020-11-23 23:21:29
135,Saldanha,-33.01,17.94,59.0,77,66,5.82,ZA,2020-11-23 23:20:16
136,Butaritari,3.07,172.79,81.72,75,61,10.45,KI,2020-11-23 23:23:32
137,Oranjestad,12.52,-70.03,84.2,79,20,18.34,AW,2020-11-23 23:20:05
138,Lata,40.16,-8.33,52.0,93,100,4.7,PT,2020-11-23 23:23:32
139,Mutsu,41.29,141.22,41.0,55,75,13.87,JP,2020-11-23 23:23:32
140,Arraial Do Cabo,-22.97,-42.03,73.4,83,75,4.7,BR,2020-11-23 23:23:32
141,Bubaque,11.28,-15.83,82.78,76,83,13.33,GW,2020-11-23 23:23:33
142,Hilo,19.73,-155.09,80.6,69,75,5.82,US,2020-11-23 23:23:17
143,Pevek,69.7,170.31,8.28,96,18,1.34,RU,2020-11-23 23:23:33
144,Mahebourg,-20.41,57.7,73.4,94,75,10.29,MU,2020-11-23 23:23:33
145,Coquimbo,-29.95,-71.34,60.8,77,20,10.29,CL,2020-11-23 23:20:02
146,Japura,-0.32,102.35,73.17,97,100,2.17,ID,2020-11-23 23:23:34
147,Kedrovyy,56.17,91.82,21.2,85,75,2.24,RU,2020-11-23 23:23:34
148,Weinan,34.5,109.51,36.0,96,90,6.71,CN,2020-11-23 23:23:34
149,Bluff,-46.6,168.33,64.0,54,35,1.01,NZ,2020-11-23 23:23:34
150,Shaunavon,49.65,-108.42,18.0,79,91,5.01,CA,2020-11-23 23:22:14
151,Itarema,-2.92,-39.92,79.7,76,93,13.15,BR,2020-11-23 23:23:35
152,Tarauaca,-8.16,-70.77,84.0,58,98,0.36,BR,2020-11-23 23:23:35
