City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
595,Itarema,BR,81.45,clear sky,-2.92,-39.92,Windvillage
598,Buritizeiro,BR,76.19,light rain,-17.35,-44.96,Santos Palace Hotel
600,Mombasa,KE,79.23,few clouds,-4.05,39.66,New Palm Tree Hotel
601,Ambilobe,MG,76.77,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
604,Mandiana,GN,75.74,scattered clouds,10.63,-8.68,La maison De Metre Malick
607,Tadine,NC,76.26,clear sky,-21.55,167.88,
609,Ferry Pass,US,79.0,broken clouds,30.51,-87.21,Hampton Inn Pensacola-Airport (Cordova Mall Area)
612,Portobelo,PA,82.0,broken clouds,9.55,-79.65,Scuba Portobelo
616,Daru,PG,79.36,overcast clouds,-9.08,143.21,New century hotel
617,Sao Raimundo Das Mangabeiras,BR,79.99,overcast clouds,-7.02,-45.48,Hotel Tropical
620,Pochutla,MX,89.6,clear sky,15.74,-96.47,Hotel Posada San Jose
621,Lhokseumawe,ID,75.92,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
622,Warri,NG,76.82,overcast clouds,5.52,5.75,BON Hotel Delta
624,Rach Gia,VN,77.0,scattered clouds,10.02,105.08,Nhà Hàng Hòa Giang
628,Katobu,ID,76.75,light rain,-4.94,122.53,La Ode Husein
631,Mayumba,GA,76.84,overcast clouds,-3.43,10.66,LIKWALE LODGE
636,Cockburn Town,TC,80.6,few clouds,21.46,-71.14,Osprey Beach Hotel
637,Tutoia,BR,84.2,few clouds,-2.76,-42.27,Pousada Guará's
641,Banda Aceh,ID,77.7,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
646,Kudahuvadhoo,MV,82.4,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
648,Muli,MV,82.4,few clouds,2.92,73.57,Medhufushi Island Resort
650,Wilmington,US,75.2,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
652,Santa Isabel,BR,84.2,broken clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
653,Kieta,PG,82.04,overcast clouds,-6.22,155.63,
658,Puerto Narino,CO,77.0,shower rain,-3.77,-70.38,Eware Refugio Amazonico
659,Aitape,PG,78.76,light rain,-3.14,142.35,
663,Salto,UY,91.4,few clouds,-31.38,-57.97,Gran Hotel Uruguay
666,Marsh Harbour,BS,76.26,broken clouds,26.54,-77.06,Abaco Beach Resort
671,Cansancao,BR,77.49,overcast clouds,-10.67,-39.5,MIGUEL
675,Maraa,BR,82.54,overcast clouds,-1.83,-65.37,
679,Diamantino,BR,88.66,scattered clouds,-14.41,-56.45,Hotel Delta
681,Wau,SS,79.48,clear sky,7.7,28.0,Universal Gab Hotel
682,Maragogi,BR,77.97,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
686,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
688,Offa,NG,75.54,broken clouds,8.15,4.72,Adlag Hotel
689,Gizo,SB,83.44,overcast clouds,-8.1,156.84,Imagination Island
693,Quibdo,CO,80.2,overcast clouds,5.69,-76.66,Hotel Angeles
696,San Agustin,MX,86.0,clear sky,20.53,-103.47,Motel Garden
697,Funadhoo,MV,82.51,clear sky,6.15,73.27,Dhaffalhu Tourist Lodge
698,Pontes E Lacerda,BR,91.08,light rain,-15.23,-59.34,Hotel Bressan
701,Kalmunai,LK,78.76,broken clouds,7.42,81.82,VS Villa
706,Rio Grande,BR,77.0,broken clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
708,Alyangula,AU,78.8,clear sky,-13.85,136.42,Groote Eylandt Lodge
715,Freetown,SL,79.21,few clouds,8.48,-13.23,The Country Lodge Hotel
718,Veinticinco De Mayo,AR,88.0,clear sky,-35.43,-60.17,Estancia La Rosada
