City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Coihueco,CL,80.6,clear sky,-36.62,-71.83,Frutillares Coihueco
374,Puerto Leguizamo,CO,78.24,moderate rain,-0.19,-74.78,la casona de juancho
376,Palauig,PH,80.96,heavy intensity rain,15.44,119.9,Myhousebythesea
379,Ilhabela,BR,76.42,few clouds,-23.78,-45.36,Ilha Flat Hotel
383,Mount Isa,AU,78.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
390,Caninde,BR,88.25,overcast clouds,-4.36,-39.31,Hotel Casa Grande II
394,Davila,PH,78.19,scattered clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
398,Poso,ID,79.0,light rain,-1.4,120.75,Hotel 77 Poso
403,Gladstone,AU,75.2,light rain,-23.85,151.25,Highpoint International
408,San Matias,BO,92.88,broken clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
409,Puerto Escondido,MX,86.0,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
411,Medowie,AU,79.0,broken clouds,-32.73,151.87,
413,Iranduba,BR,80.6,broken clouds,-3.28,-60.19,Evolução Ecolodge
414,San Juan,AR,91.6,clear sky,-31.54,-68.54,Hotel Provincial
415,Tomatlan,MX,86.11,clear sky,19.93,-105.25,Norma franco
419,Palimbang,PH,78.39,light rain,6.21,124.19,Felmar Beach resort
423,Melchor Ocampo,MX,78.8,clear sky,19.7,-99.15,Hotel la Glorieta
424,Belmonte,BR,84.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
429,Jacareacanga,BR,84.0,overcast clouds,-6.22,-57.75,Casa do Ian😎
430,Faanui,PF,80.49,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
432,Key West,US,81.0,broken clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
434,Boueni,YT,80.6,clear sky,-12.9,45.08,Santal Logis
435,Am Timan,TD,76.82,broken clouds,11.03,20.28,Palais du chef Canton Salamt
439,Panalingaan,PH,79.48,overcast clouds,8.78,117.42,
440,San Cristobal,VE,80.6,thunderstorm,7.77,-72.22,Pirineos
441,Puerto Madryn,AR,81.46,overcast clouds,-42.77,-65.04,Hotel Tolosa
442,Kibala,TD,75.2,clear sky,9.11,18.35,
443,Vila Velha,BR,80.6,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
444,Labrea,BR,83.48,broken clouds,-7.26,-64.8,Hotel Novo Horizonte
445,Dingle,PH,75.88,broken clouds,11.0,122.67,SEGAYA PROPERTY
447,Kiama,AU,79.0,scattered clouds,-34.68,150.87,The Sebel Kiama Harbourside
448,Simbahan,PH,83.7,overcast clouds,6.3,120.58,
449,Jardim,BR,83.5,overcast clouds,-21.48,-56.14,Hotel Estância
